datetime,ticker,open,high,low,close,volume
2015-12-07 10:00:00,AFLT,57.06,57.5,57.06,57.42,83400
2015-12-07 10:01:00,AFLT,57.42,57.73,57.08,57.67,54100
2015-12-07 10:02:00,AFLT,57.66,57.66,57.09,57.27,34100
2015-12-07 10:03:00,AFLT,57.27,57.27,57.15,57.15,4800
2015-12-07 10:04:00,AFLT,57.12,57.12,56.63,57.0,86700
2015-12-07 10:05:00,AFLT,57.01,57.49,56.85,57.06,20000
2015-12-07 10:06:00,AFLT,57.02,57.89,57.02,57.22,31900
2015-12-07 10:07:00,AFLT,57.21,57.22,57.11,57.18,10700
2015-12-07 10:08:00,AFLT,58.0,58.0,56.71,57.09,23800
2015-12-07 10:09:00,AFLT,57.1,57.14,56.87,56.87,9700
2015-12-07 10:10:00,AFLT,57.1,57.1,57.1,57.1,1000
2015-12-07 10:11:00,AFLT,57.1,57.1,56.4,56.92,25500
2015-12-07 10:12:00,AFLT,56.93,56.93,56.7,56.9,40800
2015-12-07 10:13:00,AFLT,56.97,56.97,56.74,56.86,14200
2015-12-07 10:14:00,AFLT,56.74,56.8,56.7,56.75,14500
2015-12-07 10:15:00,AFLT,56.73,56.81,56.37,56.81,2500
2015-12-07 10:16:00,AFLT,56.8,56.8,56.56,56.73,3100
2015-12-07 10:17:00,AFLT,56.81,56.93,56.8,56.93,18100
2015-12-07 10:18:00,AFLT,57.0,57.3,57.0,57.16,44000
2015-12-07 10:19:00,AFLT,57.13,57.13,57.09,57.09,9000
2015-12-07 10:20:00,AFLT,57.09,57.09,57.09,57.09,0
2015-12-07 10:21:00,AFLT,57.16,57.42,57.16,57.17,2800
2015-12-07 10:22:00,AFLT,57.13,57.13,57.11,57.11,4800
2015-12-07 10:23:00,AFLT,57.11,57.12,57.11,57.12,400
2015-12-07 10:24:00,AFLT,57.14,57.17,57.14,57.14,1500
2015-12-07 10:25:00,AFLT,57.14,57.14,57.14,57.14,0
2015-12-07 10:26:00,AFLT,57.15,57.15,57.15,57.15,600
2015-12-07 10:27:00,AFLT,57.15,57.15,57.14,57.14,2400
2015-12-07 10:28:00,AFLT,57.15,57.16,57.12,57.15,12800
2015-12-07 10:29:00,AFLT,57.1,57.1,57.1,57.1,4200
2015-12-07 10:30:00,AFLT,57.1,57.1,57.1,57.1,0
2015-12-07 10:31:00,AFLT,57.1,57.1,57.0,57.06,13400
2015-12-07 10:32:00,AFLT,57.06,57.06,57.06,57.06,0
2015-12-07 10:33:00,AFLT,57.05,57.05,57.05,57.05,200
2015-12-07 10:34:00,AFLT,56.93,56.93,56.86,56.86,8400
2015-12-07 10:35:00,AFLT,56.81,56.87,56.79,56.87,7300
2015-12-07 10:36:00,AFLT,56.87,56.87,56.87,56.87,0
2015-12-07 10:37:00,AFLT,56.9,56.9,56.87,56.87,200
2015-12-07 10:38:00,AFLT,56.9,57.28,56.9,57.0,48300
2015-12-07 10:39:00,AFLT,57.0,57.0,57.0,57.0,0
2015-12-07 10:40:00,AFLT,57.0,57.0,57.0,57.0,0
2015-12-07 10:41:00,AFLT,57.0,57.0,56.93,56.93,23900
2015-12-07 10:42:00,AFLT,56.97,56.97,56.92,56.92,4600
2015-12-07 10:43:00,AFLT,56.92,57.13,56.92,57.0,4100
2015-12-07 10:44:00,AFLT,57.0,57.0,57.0,57.0,0
2015-12-07 10:45:00,AFLT,57.0,57.62,57.0,57.14,32800
2015-12-07 10:46:00,AFLT,57.11,57.14,56.79,57.1,9200
2015-12-07 10:47:00,AFLT,57.1,57.1,57.1,57.1,2400
